pl_name,pl_letter,hostname,hd_name,hip_name,tic_id,gaia_id,default_flag,disc_pubdate,disc_year,discoverymethod,disc_locale,disc_facility,disc_telescope,ra,dec,glon,glat,elon,elat,pl_orbper,pl_orblper,pl_orbsmax,pl_orbincl,pl_orbtper,pl_orbeccen,pl_eqt,pl_occdep,pl_insol,pl_dens,pl_trandep,pl_tranmid,pl_trandur,sy_umag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gmag,sy_gaiamag,sy_tmag,pl_controv_flag,st_metratio,st_spectype,sy_kepmag,st_rotp,pl_projobliq,x,y,z,htm20,pl_rvamp,pl_radj,pl_rade,pl_ratror,pl_ratdor,pl_trueobliq,sy_icmag,rowupdate,pl_pubdate,releasedate,dkin_flag,pl_imppar,pl_cmassj,pl_cmasse,pl_massj,pl_masse,pl_bmassj,pl_bmasse,pl_bmassprov,pl_msinij,pl_msinie,st_teff,st_met,st_radv,st_vsin,st_lum,st_logg,st_age,st_mass,st_dens,st_rad,ttv_flag,ptv_flag,tran_flag,rv_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,pul_flag,soltype,sy_snum,sy_pnum,sy_mnum,cb_flag,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec,pl_nnotes,sy_pm,sy_pmra,sy_pmdec,sy_plx,sy_dist,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,st_spectype_simp
HD 1605 b,b,HD 1605,HD 1605,HIP 1640,TIC 57983992,Gaia DR2 2862328869351558272,1,2015-06,2015,Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes,5.1317548,30.9750611,115.1667,-31.43019,17.85528,26.21176,577.2,216.0,1.492,,2463760.0,0.095,,,,,,,,,,,,5.201,5.067,5.151,5.192,,7.25688,6.6755,0,[Fe/H],K1 IV,,,,0.853954668854812,0.0766905009410704,0.5146649304221884,1815261676,18.97,,,,,,,2018-09-25,2018-11,2018-09-27,0,,,,,,0.934,296.85322,Msini,0.934,296.85322,4915.0,0.22,,,0.81,,4.36,1.33,,3.49,0,0,0,1,0,0,0,0,0,0,Published Confirmed,1,2,0,0,1,2,2,0,0,0,0,103.4844589,84.8357,59.2616,11.232,88.8047,8.546,7.52,5.85,5.375,5.272,K
HD 1605 c,c,HD 1605,HD 1605,HIP 1640,TIC 57983992,Gaia DR2 2862328869351558272,1,2015-06,2015,Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes,5.1317548,30.9750611,115.1667,-31.43019,17.85528,26.21176,2149.0,233.0,3.584,,2464691.0,0.099,,,,,,,,,,,,5.201,5.067,5.151,5.192,,7.25688,6.6755,0,[Fe/H],K1 IV,,,,0.853954668854812,0.0766905009410704,0.5146649304221884,1815261676,47.47,,,,,,,2018-09-25,2018-11,2018-09-27,0,,,,,,3.62,1150.5446,Msini,3.62,1150.5446,4915.0,0.22,,,0.81,,4.36,1.33,,3.49,0,0,0,1,0,0,0,0,0,0,Published Confirmed,1,2,0,0,1,2,2,0,0,0,0,103.4844589,84.8357,59.2616,11.232,88.8047,8.546,7.52,5.85,5.375,5.272,K
HD 1666 b,b,HD 1666,HD 1666,HIP 1666,TIC 211439561,Gaia DR2 2362099457224379136,1,2015-06,2015,Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes,5.2180424,-19.9314823,77.10962,-79.9618,356.50631,-20.29022,270.0,294.0,0.94,,2453526.3,0.63,,,,,,,,,,,,6.882,6.932,6.989,6.917,,8.05121,7.70312,0,[Fe/H],F7 V,,,,0.936204998969461,0.0854985898796979,-0.3408961587245811,-1448212915,199.4,,,,,,,2015-04-01,2015-06,2015-04-01,0,,,,,,6.43,2040.0,Msini,6.43,2040.0,6317.0,0.37,,5.6,0.73,4.06,1.76,1.5,,1.93,0,0,0,1,0,0,0,0,0,0,Published Confirmed,1,1,0,0,1,0,0,0,0,0,0,60.1675411,-8.50146,-59.5639,8.45266,117.908,8.649,8.17,7.269,7.063,6.964,F
HD 67087 b,b,HD 67087,HD 67087,HIP 39767,TIC 165796397,Gaia DR2 877846136542812160,1,2015-06,2015,Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes,121.9155672,31.5511553,190.11761,29.09234,117.32843,11.08996,352.2,285.0,1.08,,2450154.8,0.17,,,,,,,,,,,,6.8,6.841,6.876,6.688,,7.92235,7.5776,0,[Fe/H],F8 V,,,,-0.4505176013619828,0.7233486457566014,0.523259617728271,1248697000,73.6,,,,,,,2015-04-01,2015-06,2015-04-01,0,,,,,,3.06,973.0,Msini,3.06,973.0,6330.0,0.25,,9.7,0.54,4.19,1.45,1.36,,1.55,0,0,0,1,0,0,0,0,0,0,Published Confirmed,1,2,0,0,1,0,0,0,0,0,0,41.1484473,-16.5053,-37.6931,13.0396,76.5217,8.596,8.05,7.098,6.905,6.866,F
Kepler-265 c,c,Kepler-265,,,TIC 122445076,Gaia DR2 2101776885215761152,1,2014-03,2014,Transit,Space,Kepler,0.95 m Kepler Telescope,290.5104788,41.244743,73.25046,12.21177,304.45733,62.25196,17.028937,,0.127,,,,,,,,,2454976.33642,4.732,,,,,13.926,13.933,12.16,8.786,,15.3522,14.9117,0,,,15.381,,,0.263449837041702,-0.7042359301977159,0.659276829549817,324541364,,0.235,2.63,,,,,2014-05-14,2014-03,2014-05-14,0,0.34,,,,,,,,,,5835.0,,,,,4.33,,,,1.1,0,0,1,0,0,0,0,0,0,0,Published Confirmed,1,4,0,0,0,0,0,0,0,0,1,14.5297916,-3.39912,-14.1266,0.752895,1280.25,16.125,15.47,14.252,13.935,13.897,
HD 67087 c,c,HD 67087,HD 67087,HIP 39767,TIC 165796397,Gaia DR2 877846136542812160,1,2015-06,2015,Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes,121.9155672,31.5511553,190.11761,29.09234,117.32843,11.08996,2374.0,256.0,3.86,,2450322.5,0.76,,,,,,,,,,,,6.8,6.841,6.876,6.688,,7.92235,7.5776,0,[Fe/H],F8 V,,,,-0.4505176013619828,0.7233486457566014,0.523259617728271,1248697000,93.3,,,,,,,2015-04-01,2015-06,2015-04-01,0,,,,,,4.85,1540.0,Msini,4.85,1540.0,6330.0,0.25,,9.7,0.54,4.19,1.45,1.36,,1.55,0,0,0,1,0,0,0,0,0,0,Published Confirmed,1,2,0,0,1,0,0,0,0,0,0,41.1484473,-16.5053,-37.6931,13.0396,76.5217,8.596,8.05,7.098,6.905,6.866,F
CoRoT-28 b,b,CoRoT-28,,,TIC 106352250,Gaia DR2 4284680029006075648,1,2015-07,2015,Transit,Space,CoRoT,0.27 m CoRoT Telescope,278.6883216,5.5736911,36.01305,6.24131,279.87089,28.71575,5.20851,126.0,0.0603,88.1,,0.047,,,,0.69,,2455755.8466,5.7,,,,,10.926,11.005,11.384,8.825,,13.4119,12.671,0,[Fe/H],G8/9 IV,,,,0.1503451428271659,-0.9838510541718224,0.0971259040280856,-1071207987,56.4,0.955,10.705,0.0551,7.29,,,2015-04-16,2015-07,2015-04-16,0,0.24,,,0.484,153.82972,0.484,153.82972,Mass,,,5150.0,0.15,,3.0,,3.6,12.0,1.01,0.27,1.78,0,0,1,1,0,0,0,0,0,0,Published Confirmed,1,1,0,0,0,0,0,0,0,0,0,8.9097951,-5.91899,-6.65958,1.27685,766.183,15.014,13.783,11.601,11.143,11.032,G
CoRoT-29 b,b,CoRoT-29,,,TIC 370736259,Gaia DR2 4285073581136130560,1,2015-07,2015,Transit,Space,CoRoT,0.27 m CoRoT Telescope,278.9020691,6.4795703,36.92336,6.45872,280.18597,29.60462,2.85057,87.0,0.0386,87.3,,0.082,,,,1.45,,2455753.115,2.19,,,,,,,,,,15.2394,14.5448,0,[Fe/H],K0 V,,,,0.1537575704250026,-0.98164338119012,0.1128489331036375,1766247757,125.0,0.9,10.088,0.1028,9.22,,,2015-04-16,2015-07,2015-04-16,0,0.43,,,0.85,270.1555,0.85,270.1555,Mass,,,5260.0,0.2,,3.5,,4.3,4.5,0.97,1.825,0.9,0,0,1,1,0,0,0,0,0,0,Published Confirmed,1,1,0,0,0,0,0,0,0,0,0,14.8548187,-3.76681,-14.3693,1.21562,806.507,16.588,15.408,13.565,13.12,13.048,K
HAT-P-54 b,b,HAT-P-54,,,TIC 284326455,Gaia DR2 3383298227579280640,1,2015-04,2015,Transit,Ground,HATNet,Canon 200mm f/1.8L,99.8979924,25.4824005,188.78409,8.89777,98.93049,2.34958,3.799847,,0.04117,87.04,,0.074,818.0,,,1.118,,2456299.3037,,,,,,10.282,10.342,10.195,8.677,,13.0172,12.2341,0,[Fe/H],,13.6,,,-0.1551722447842336,0.8892808475956486,0.4302338300833473,-342105145,132.6,0.944,10.581,0.1572,14.34,,,2015-04-24,2015-04,2015-04-24,0,0.741,,,0.76,241.5508,0.76,241.5508,Mass,,,4390.0,-0.127,,2.35,-0.902,4.67,3.9,0.65,,0.62,0,0,1,1,0,0,0,0,0,0,Published Confirmed,1,1,0,0,0,0,0,0,0,0,0,33.2370806,-0.0732176,-33.237,6.93252,143.651,14.832,13.398,11.145,10.487,10.326,
HD 100546 b,b,HD 100546,HD 100546,HIP 56379,TIC 280773136,Gaia DR2 5233604915060520576,1,2015-07,2014,Imaging,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,173.3555116,-70.1947897,296.36705,-8.32378,225.14311,-61.49887,,,53.0,,,,,,,,,,,,,,,4.203,3.455,-0.397,-3.227,,6.65514,6.6634,1,,B9 Vne,,,,-0.336547677187731,0.0392047359173793,-0.9408499612909548,-314976905,,6.9,77.342,,,,,2023-12-14,2015-07,2023-12-14,0,,,,8.5,2701.54146,8.5,2701.54146,Mass,,,10500.0,,,,1.5,,0.005,2.4,,,0,0,0,0,0,0,0,0,1,0,Published Confirmed,1,1,0,0,1,0,0,0,0,0,4,38.5946354,-38.5939,-0.238247,9.0892,109.677,6.707,6.69,6.425,5.962,5.418,B
Kepler-432 c,c,Kepler-432,,,TIC 26817004,Gaia DR2 2128901871432519936,1,2015-04,2015,Radial Velocity,Ground,Fred Lawrence Whipple Observatory,1.5 m Tillinghast Reflector Telescope,293.2822344,48.2859173,80.63315,13.48812,314.90383,68.12667,406.2,60.8,,,,0.498,,,,,,,,,,,,10.052,10.12,10.011,9.583,,12.1822,11.5815,0,[M/H],,12.183,,,0.2630119459671067,-0.6112285239941134,0.7464746531092487,-580283222,62.1,,,,,,,2015-04-30,2015-04,2015-04-30,0,,,,,,2.43,772.3269,Msini,2.43,772.3269,4995.0,-0.07,-35.22,2.7,,3.35,4.2,1.32,0.0279,4.06,0,0,0,1,0,0,0,0,0,0,Published Confirmed,2,2,0,0,0,0,0,0,0,0,1,11.0876491,4.53052,10.1198,1.15095,848.023,13.485,12.398,10.684,10.221,10.121,
