pl_name,pl_letter,hostname,hd_name,hip_name,tic_id,gaia_id,default_flag,disc_pubdate,disc_year,discoverymethod,disc_locale,disc_facility,disc_telescope,ra,dec,glon,glat,elon,elat,pl_orbper,pl_orblper,pl_orbsmax,pl_orbincl,pl_orbtper,pl_orbeccen,pl_eqt,pl_occdep,pl_insol,pl_dens,pl_trandep,pl_tranmid,pl_trandur,sy_umag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gmag,sy_gaiamag,sy_tmag,pl_controv_flag,st_metratio,st_spectype,sy_kepmag,st_rotp,pl_projobliq,x,y,z,htm20,pl_rvamp,pl_radj,pl_rade,pl_ratror,pl_ratdor,pl_trueobliq,sy_icmag,rowupdate,pl_pubdate,releasedate,dkin_flag,pl_imppar,pl_cmassj,pl_cmasse,pl_massj,pl_masse,pl_bmassj,pl_bmasse,pl_bmassprov,pl_msinij,pl_msinie,st_teff,st_met,st_radv,st_vsin,st_lum,st_logg,st_age,st_mass,st_dens,st_rad,ttv_flag,ptv_flag,tran_flag,rv_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,pul_flag,soltype,sy_snum,sy_pnum,sy_mnum,cb_flag,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec,pl_nnotes,sy_pm,sy_pmra,sy_pmdec,sy_plx,sy_dist,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,st_spectype_simp,is_rocky,pl_radius_for_esi,pl_esi,pl_hza,pl_hzc,pl_hzd,pl_type
8 UMi b,b,8 UMi,HD 133086,HIP 73136,TIC 257005016,Gaia DR2 1700658653802527104,1,2015-12,2015,Radial Velocity,Ground,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,224.201685,74.9009379,112.79492,39.66099,130.65518,73.34497,93.4,,0.49,,,0.06,,,,,,,,,,,,4.468,4.187,4.473,4.415,,6.55896,5.96761,0,[Fe/H],,,,,-0.1867417745023994,-0.1816091262961814,0.9654768950635912,893950861,46.1,,,,,,,2018-09-04,2017-03,2018-09-06,0,,,,,,1.31,416.3573,Msini,1.31,416.3573,4847.0,-0.03,,,,2.57,,1.44,,10.3,0,0,0,1,0,0,0,0,0,0,Published Confirmed,1,1,0,0,1,0,0,0,0,0,1,13.2836055,12.7947,3.57069,6.12304,162.552,7.834,6.83295,5.069,4.749,4.515,,0,7.467158923576463,,,,,Unknown
LkCa 15 c,c,LkCa 15,,,TIC 118681038,Gaia DR2 144936836795636864,1,2015-11,2015,Imaging,Ground,Large Binocular Telescope Observatory,Large Binocular Telescope,69.8241791,22.3508662,176.68976,-15.98175,71.39799,0.20507,,,18.6,50.0,,,,,,,,,,15.3616,10.3439,13.7398,10.1416,7.504,7.207,5.696,3.565,15.4641,11.5887,10.7873,1,,,11.488,,,0.3189904784477153,0.8681210615364037,0.3802773950376294,2013187958,,,,,,,,2015-12-02,2015-11,2015-12-03,0,,,,,,,,,,,4194.0,,,,,,,,,1.61,0,0,0,0,0,0,0,0,1,0,Published Confirmed,1,2,0,0,0,0,0,0,0,0,1,20.2932185,10.4712,-17.383,6.29465,158.152,13.008,12.025,9.424,8.6,8.163,,0,,,,,,Unknown
psi1 Dra B b,b,psi1 Dra B,HD 162004,HIP 86620,TIC 441804565,Gaia DR2 1651268763281885952,1,2016-02,2015,Radial Velocity,Ground,McDonald Observatory,2.7m Harlan J. Smith Telescope,265.4925754,72.1557114,102.97614,31.02766,103.75268,84.18767,3117.0,64.0,4.43,,2449344.0,0.4,,,,,,,,,,,,,,,,,5.64766,5.2863,0,[Fe/H],G0 V,,,,-0.0240819001364331,-0.3054834491847552,0.9518928113816196,1914018771,21.0,,,,,,,2015-12-16,2016-02,2015-12-17,0,,,,,,1.53,486.2799,Msini,1.53,486.2799,6212.0,0.01,,,,4.2,3.3,1.19,,,0,0,0,1,0,0,0,0,0,0,Published Confirmed,3,1,0,0,1,0,1,0,0,0,5,277.917253,33.7856,-275.856,43.9875,22.7188,6.339,5.808,5.001,4.59,4.527,G,0,7.863733245874945,,,,,Unknown
V830 Tau b,b,V830 Tau,,,TIC 268397995,Gaia DR2 147831571737487488,1,2016-06,2016,Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes,68.2918259,24.5619241,173.98885,-15.64797,70.32072,2.59353,4.927,,0.057,55.0,,,,,,,,,,15.9001,11.6521,11.0205,10.9772,8.412,8.38,8.264,8.329001,13.4379,11.6928,10.8266,1,,,11.711,2.74,,0.3364098718714945,0.8450097468757582,0.4156764676913666,1707072375,68.0,,,,6.1,,,2016-11-30,2017-03,2016-12-01,0,,0.69584,221.159,0.7,222.481,0.7,222.481,Mass,0.57,181.1631,4250.0,,,30.5,,,0.002,1.0,,2.0,0,0,0,1,0,0,0,0,0,0,Published Confirmed,1,1,0,0,0,0,0,0,0,0,2,22.4325956,7.24715,-21.2297,7.65714,130.111,13.69,12.23,9.325,8.613,8.422,,0,6.059418882869712,,,,,Unknown
Proxima Cen b,b,Proxima Cen,,HIP 70890,TIC 388857263,Gaia DR2 5853498713160606720,1,2016-08,2016,Radial Velocity,Ground,European Southern Observatory,Multiple Telescopes,217.3934657,-62.6761821,313.92595,-1.91805,239.08815,-44.7676,11.1868,3.3,0.04856,,,0.02,,,,,,,,,,,,,,,,,8.95361,7.36,0,,M5.5 V,,90.0,,-0.3646831292056806,-0.2787554096756533,-0.8884264949050718,-410784514,1.24,,,,,,,2023-05-15,2022-02,2023-05-15,0,,,,,,0.00337,1.07,Msini,0.00337,1.07,2900.0,,,,-2.796,,,0.12,,0.14,0,0,0,1,0,0,0,0,0,0,Published Confirmed,3,1,0,0,5,2,0,0,0,0,1,3858.8657674,-3781.31,769.766,768.5,1.30119,12.782,11.01,5.357,4.835,4.384,M,0,1.0228091217696715,,,,,Unknown
rho CrB c,c,rho CrB,HD 143761,HIP 78459,TIC 458494003,Gaia DR2 1323427759184545536,1,2016-10,2016,Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes,240.2600639,33.3001861,53.48367,48.92412,227.17715,52.40991,102.19,9.7,0.4206,,2455609.0,0.096,,,,,,2455629.3,,,,,,,,,,,5.24167,4.8248,0,[Fe/H],,,,,-0.4146130570191899,-0.7257182492830044,0.5490255327458031,1280940784,4.0,,,,,,,2023-07-11,2023-08,2023-07-11,0,,,,,,0.08873,28.2,Msini,0.08873,28.2,5817.0,-0.2,,0.8,0.26,4.25,10.2,0.95,,1.34,0,0,0,1,0,0,0,0,0,0,Published Confirmed,1,4,0,0,1,1,2,0,0,0,1,797.5220847,-198.536,-772.415,57.2216,17.4671,6.001,5.40816,4.088,3.989,3.857,,0,3.043801799381843,,,,-0.7914483674565765,Unknown
tau Cet g,g,tau Cet,HD 10700,HIP 8102,TIC 419015728,Gaia DR2 2452378776434276992,1,2017-10,2017,Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes,26.0093029,-15.9337987,173.07319,-73.4424,17.8127,-24.80956,20.0,395.341,0.133,,,0.06,,,,,,,,,,,,,,,,,3.24854,2.7459,0,,,,,,0.8641935068381194,0.4216690444810191,-0.274526500843357,2128127506,0.49,,,,,,,2017-08-14,2017-10,2017-08-17,0,,,,,,0.00551,1.75,Msini,0.00551,1.75,,,,,,,,0.78,,,0,0,0,1,0,0,0,0,0,0,Published Confirmed,1,4,0,0,1,4,10,0,0,0,1,1929.7238523,-1729.73,855.493,277.516,3.60304,,3.49607,2.149,1.8,1.794,,0,1.205071132087615,,,,,Unknown
tau Cet h,h,tau Cet,HD 10700,HIP 8102,TIC 419015728,Gaia DR2 2452378776434276992,1,2017-10,2017,Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes,26.0093029,-15.9337987,173.07319,-73.4424,17.8127,-24.80956,49.41,7.45,0.243,,,0.23,,,,,,,,,,,,,,,,,3.24854,2.7459,0,,,,,,0.8641935068381194,0.4216690444810191,-0.274526500843357,2128127506,0.39,,,,,,,2017-08-14,2017-10,2017-08-17,0,,,,,,0.00576,1.83,Msini,0.00576,1.83,,,,,,,,0.78,,,0,0,0,1,0,0,0,0,0,0,Published Confirmed,1,4,0,0,1,4,10,0,0,0,1,1929.7238523,-1729.73,855.493,277.516,3.60304,,3.49607,2.149,1.8,1.794,,0,1.2231612006930872,,,,,Unknown
tau Cet e,e,tau Cet,HD 10700,HIP 8102,TIC 419015728,Gaia DR2 2452378776434276992,1,2017-10,2017,Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes,26.0093029,-15.9337987,173.07319,-73.4424,17.8127,-24.80956,162.87,22.35,0.538,,,0.18,,,,,,,,,,,,,,,,,3.24854,2.7459,0,,,,,,0.8641935068381194,0.4216690444810191,-0.274526500843357,2128127506,0.55,,,,,,,2017-08-14,2017-10,2017-08-17,0,,,,,,0.01237,3.93,Msini,0.01237,3.93,,,,,,,,0.78,,,0,0,0,1,0,0,0,0,0,0,Published Confirmed,1,4,0,0,1,4,10,0,0,0,1,1929.7238523,-1729.73,855.493,277.516,3.60304,,3.49607,2.149,1.8,1.794,,0,1.578086665408715,,,,,Unknown
tau Cet f,f,tau Cet,HD 10700,HIP 8102,TIC 419015728,Gaia DR2 2452378776434276992,1,2017-10,2017,Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes,26.0093029,-15.9337987,173.07319,-73.4424,17.8127,-24.80956,636.13,119.75,1.334,,,0.16,,,,,,,,,,,,,,,,,3.24854,2.7459,0,,,,,,0.8641935068381194,0.4216690444810191,-0.274526500843357,2128127506,0.35,,,,,,,2017-08-14,2017-10,2017-08-17,0,,,,,,0.01237,3.93,Msini,0.01237,3.93,,,,,,,,0.78,,,0,0,0,1,0,0,0,0,0,0,Published Confirmed,1,4,0,0,1,4,10,0,0,0,1,1929.7238523,-1729.73,855.493,277.516,3.60304,,3.49607,2.149,1.8,1.794,,0,1.578086665408715,,,,,Unknown
